,01e43y44,01y33,01y40,01y43N,01y43S,01y44,01y46,02y33,02y34,02y35,02y39,02y40,02y43,02y44,02y46,02y47N,02y47S,02y48,02y532,03y32,03y33,03y37,03y38,03y39,03y43,03y44N,03y44S,03y45,03y46,03y47,03y48,03y49,03y51,04y32,04y36,04y37,04y44N,04y44S,04y48,05e48y49,05y32,05y33,05y34,05y35,05y36,05y37,05y38,05y39,05y41,05y42,05y43,05y44,05y46,05y47,05y48,05y49,05y50,05y51,05yD77,Cierre
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.00000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240.00000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
300.0,0.0006066983914934099,0.0008196294074878097,0.0005298297037370503,0.00022189835726749152,0.0002614258846733719,0.00016853641136549413,0.000822145608253777,0.0008642893517389894,0.00022742897272109985,0.000580761581659317,0.0004505339893512428,0.00047863833606243134,0.0005014779744669795,0.00030522255110554397,0.00036738530616275966,0.0003634999447967857,0.00040737687959335744,0.00016407639486715198,0.0011969110928475857,0.0006480327574536204,0.00046941821346990764,0.0005962259601801634,0.00046441503218375146,0.00018025656754616648,0.0,0.0003936678112950176,0.0003789285838138312,0.00024244521046057343,0.00011457723303465173,0.00045249651884660125,0.0005711282719857991,0.0002940198464784771,0.00018551312678027898,0.0009076677379198372,0.00038103736005723476,0.0015296763740479946,0.0005349572165869176,0.0009952712571248412,0.00019515407620929182,0.0001558533258503303,0.0005214025150053203,0.0005735042504966259,0.00037228400469757617,0.0004610326432157308,0.0014826643746346235,0.0012106674257665873,0.0004907082766294479,0.0007169469608925283,0.0007452340214513242,0.0008906269795261323,0.0003294192429166287,0.0007384514319710433,0.00036811604513786733,0.0003362091665621847,0.00020752726413775235,0.00024147493240889162,0.000284659763565287,0.00030148724908940494,0.00015571284166071564,0.0
360.0,0.0012685511028394103,0.0017137705581262708,0.0011078256648033857,0.0004639693070203066,0.0005466177826747298,0.00035239430144429207,0.0017190317157655954,0.0018071505473926663,0.00047553330659866333,0.0012143196072429419,0.0009420256246812642,0.001000789226964116,0.0010485448874533176,0.000638192577753216,0.0007681692950427532,0.0007600453100167215,0.000851788034196943,0.000343068822985515,0.002502632327377796,0.001354977604933083,0.0009815108496695757,0.0012466541957110167,0.0009710495942272246,0.0003769001050386578,0.0,0.0008231236133724451,0.0007923052180558443,0.0005069308681413531,0.00023957058147061616,0.0009461290901526809,0.0011941773118451238,0.0006147687672637403,0.0003878910792991519,0.0018978506559506059,0.0007967144483700395,0.0031984143424779177,0.0011185468174517155,0.002081021899357438,0.0004080494400113821,0.00032587515306659043,0.0010902052745223045,0.0011991452192887664,0.0007784119807183743,0.0009639773634262383,0.003100116504356265,0.0025313955266028643,0.00102602643892169,0.0014990709023550153,0.0015582165215164423,0.001862220116890967,0.0006887856870889664,0.001544034807011485,0.0007696971879340708,0.0007029828266240656,0.0004339206498116255,0.000504902156535536,0.000595197721850127,0.0006303824484348297,0.0003255814081057906,0.0
420.0,0.0019304039888083935,0.0026079118251800537,0.001685821800492704,0.0007060402422212064,0.0008318096515722573,0.0005362522206269205,0.0026159179396927357,0.0027500116266310215,0.0007236376404762268,0.0018478777492418885,0.0014335172018036246,0.0015229401178658009,0.001595611684024334,0.0009711626335047185,0.0011689532548189163,0.0011565907625481486,0.0012961991596966982,0.000522061251103878,0.0038083535619080067,0.002061922335997224,0.0014936033403500915,0.0018970825476571918,0.001477684243582189,0.0005735435988754034,0.0,0.0012525793863460422,0.0012056819396093488,0.0007714165840297937,0.000364563922630623,0.0014397616032510996,0.0018172262934967875,0.000935517658945173,0.00059026904636994,0.0028880336321890354,0.0012123915366828442,0.004867152310907841,0.001702136592939496,0.003166772425174713,0.0006209447747096419,0.0004958969657309353,0.0016590079758316278,0.0018247861880809069,0.0011845399858430028,0.0014669219963252544,0.004717568401247263,0.0038521236274391413,0.001561344601213932,0.0022811947856098413,0.002371199196204543,0.0028338131960481405,0.0010481522185727954,0.002349618123844266,0.0011712784180417657,0.0010697564575821161,0.0006603140500374138,0.0007683293079026043,0.0009057356510311365,0.000959277618676424,0.0004954499891027808,0.0
480.00000000000006,0.002592256758362055,0.003502052975818515,0.0022638177033513784,0.0009481111774221063,0.0011170015204697847,0.0007201100816018879,0.003512804163619876,0.0036928728222846985,0.0009717419743537903,0.002481435891240835,0.001925008837133646,0.0020450910087674856,0.002142678713425994,0.001304132747463882,0.0015697372145950794,0.0015531361568719149,0.0017406103434041142,0.0007010537083260715,0.005114074796438217,0.0027688671834766865,0.002005696063861251,0.002547510899603367,0.001984318718314171,0.0007701871218159795,0.0,0.0016820351593196392,0.0016190585447475314,0.0010359021835029125,0.000489557278342545,0.0019333941163495183,0.002440275391563773,0.0012562666088342667,0.0007926469552330673,0.003878216724842787,0.0016280687414109707,0.00653589004650712,0.002285726135596633,0.0042525227181613445,0.0008338401676155627,0.0006659187492914498,0.002227810677140951,0.002450427273288369,0.0015906679909676313,0.0019698666874319315,0.0063350205309689045,0.005172851495444775,0.002096662763506174,0.0030633187852799892,0.0031841816380620003,0.0038054061587899923,0.0014075186336413026,0.0031552014406770468,0.0015728594735264778,0.0014365301467478275,0.0008867073920555413,0.0010317565174773335,0.001216273638419807,0.0012881727889180183,0.0006653185118921101,0.0
540.0,0.003254109527915716,0.004396194126456976,0.002841813722625375,0.001190182170830667,0.001402193447574973,0.0009039680007845163,0.004409690387547016,0.0046357340179383755,0.0012198463082313538,0.00311499391682446,0.0024165005888789892,0.0025672418996691704,0.0026897455099970102,0.0016371028032153845,0.0019705211743712425,0.001949681551195681,0.0021850215271115303,0.0008800461073406041,0.006419796030968428,0.003475812030956149,0.0025177886709570885,0.00319793913513422,0.0024909533094614744,0.0009668307029642165,0.0,0.002111491048708558,0.002032435266301036,0.0013003878993913531,0.0006145506049506366,0.002427026629447937,0.003063324373215437,0.0015770155005156994,0.0009950249223038554,0.004868399351835251,0.0020437457133084536,0.0082046277821064,0.0028693159110844135,0.005338273476809263,0.0010467354441061616,0.0008359405910596251,0.0027966133784502745,0.003076068125665188,0.001996795879676938,0.0024728113785386086,0.007952472195029259,0.006493579596281052,0.002631980925798416,0.003845442784950137,0.003997164312750101,0.004776999354362488,0.0017668850487098098,0.003960784990340471,0.0019744406454265118,0.001803303835913539,0.0011131007922813296,0.0012951837852597237,0.0015268115093931556,0.0016170680755749345,0.0008351870928891003,0.0
