,name,id,z_inv,h_0,bc,storage,a,b,c,max_depth,map_x,map_y,base_demand,tank,tank_fake_node,demand_pattern,tank_min,tank_max
43,151,43,74.0664,0.0,False,functional,0,0,1e-05,inf,5270.43,7330.19,0.0,False,False,1,-inf,inf
44,152,44,74.9808,0.0,False,functional,0,0,1e-05,inf,5463.55,7355.79,9.19224161548e-07,False,False,1,-inf,inf
45,1521,45,74.676,0.0,False,functional,0,0,1e-05,inf,5825.02,7244.39,0.0,False,False,1,-inf,inf
46,153,46,58.216800000000006,0.0,False,functional,0,0,1e-05,inf,6577.99,7644.56,1.55517334126e-06,False,False,1,-inf,inf
47,154,47,62.484,0.0,False,functional,0,0,1e-05,inf,5949.22,7552.84,1.7671564011640001e-06,False,False,1,-inf,inf
48,1541,48,60.3504,0.0,False,functional,0,0,1e-05,inf,6245.53,7813.41,0.0,False,False,1,-inf,inf
49,155,49,66.4464,0.0,False,functional,0,0,1e-05,inf,6289.73,7394.04,7.779021216120001e-07,False,False,1,-inf,inf
50,156,50,60.3504,0.0,False,functional,0,0,1e-05,inf,6471.3,8135.28,1.484512321292e-06,False,False,1,-inf,inf
51,157,51,63.3984,0.0,False,functional,0,0,1e-05,inf,5692.2,7933.74,1.69712628316e-06,False,False,1,-inf,inf
52,158,52,66.1416,0.0,False,functional,0,0,1e-05,inf,5252.57,7889.28,6.504599248840001e-07,False,False,1,-inf,inf
53,159,53,68.8848,0.0,False,functional,0,0,1e-05,inf,4968.07,7946.22,8.479322396160001e-07,False,False,1,-inf,inf
54,160,54,56.997600000000006,0.0,False,functional,0,0,1e-05,inf,7006.95,6224.78,2.545058522776e-06,False,False,1,-inf,inf
55,161,55,76.2,0.0,False,functional,0,0,1e-05,inf,4884.98,7726.13,1.060546201484e-06,False,False,1,-inf,inf
56,1611,56,79.8576,0.0,False,functional,0,0,1e-05,inf,4741.73,7535.25,0.0,False,False,1,-inf,inf
57,162,57,64.61760000000001,0.0,False,functional,0,0,1e-05,inf,7237.14,7438.11,1.484512321292e-06,False,False,1,-inf,inf
58,163,58,82.296,0.0,False,functional,0,0,1e-05,inf,4252.55,8504.99,9.19224161548e-07,False,False,1,-inf,inf
59,1631,59,83.82000000000001,0.0,False,functional,0,0,1e-05,inf,4057.32,8421.19,0.0,False,False,1,-inf,inf
