,106,107,108,109,111,112,113,1131,115,123,124,125,126,127,128,129,130,131,132,133,134,135,1351,1352,137,138,139,140,141,1411,1412,1413,142,143,144,1441,1442,1443,145,146,147,148,149,151,152,1521,153,154,1541,155,156,157,158,159,160,161,1611,162,163,1631,164,165,1651,167,168,169,171,172,1721,1722,1723,1724,173,174,175,176,177,178,1781,179,1791,1792,1793,1794,180,1801,181,182,1821,183,184,202,203,207,2071,208,209,211,2111,212,213,214,215,216,217,218,219,221,222,223,229,185
0,127.367226,127.36638,127.36638,127.36576,127.36575,127.36536,127.363754,127.363754,127.363754,127.36483,127.36482,127.36483,127.36482,127.36483,127.36456,127.364555,127.3641,127.364235,127.364235,127.3641,127.36388,127.363754,127.36343,127.36301,127.363754,127.363754,127.363754,127.363754,127.36277,127.36271,127.36269,127.36264,127.36266,127.362656,127.36259,127.36252,127.36244,127.36245,127.36245,127.36244,127.36244,127.36259,127.36241,127.36259,127.36254,127.36249,127.362175,127.362175,127.362175,127.36216,127.362175,127.36224,127.362625,127.36287,127.362434,127.36296,127.36297,127.36216,127.36326,127.363205,127.36212,127.36301,127.36301,127.36301,127.36354,127.3621,127.36211,127.3621,127.3621,127.36211,127.36212,127.36222,127.36212,127.36423,127.36508,127.36635,127.368866,127.37199,127.36991,127.372795,127.37311,127.37381,127.37498,127.37563,127.36784,127.36779,127.36766,127.36763,127.36764,127.36765,127.36232,127.36885,127.36886,127.36254,127.362526,127.3625,127.362526,127.36249,127.36248,127.36249,127.36246,127.362495,127.362495,127.362495,127.36252,127.362526,127.362564,127.36492,127.362495,127.3625,127.362564,127.37592
1800,127.358765,127.35793,127.35792,127.35731,127.3573,127.35691,127.35531,127.35531,127.35531,127.35638,127.35637,127.35638,127.35637,127.35638,127.35611,127.356094,127.355644,127.35578,127.35578,127.355644,127.355415,127.35531,127.35497,127.35455,127.35531,127.35531,127.35531,127.35531,127.35431,127.354256,127.35424,127.35418,127.35422,127.3542,127.35413,127.35406,127.35399,127.354,127.354,127.35399,127.35399,127.35413,127.35396,127.35413,127.35409,127.354034,127.353714,127.353714,127.353714,127.35371,127.353714,127.35379,127.35418,127.354416,127.35397,127.35451,127.35452,127.35371,127.354805,127.35475,127.35367,127.35455,127.35455,127.35455,127.35509,127.35365,127.35365,127.353645,127.353645,127.35365,127.35367,127.35376,127.35367,127.35578,127.35663,127.357895,127.36041,127.36353,127.36146,127.36434,127.364655,127.36536,127.36652,127.36719,127.35939,127.35934,127.35921,127.35918,127.359184,127.35919,127.35387,127.3604,127.360405,127.35409,127.35407,127.35405,127.35407,127.354034,127.35403,127.354034,127.354004,127.35404,127.35404,127.35404,127.35406,127.35407,127.35412,127.35647,127.35404,127.35405,127.35412,127.36746
3600,127.35031,127.34947,127.349464,127.348854,127.34884,127.34845,127.346855,127.346855,127.346855,127.34792,127.347916,127.34792,127.347916,127.34792,127.34765,127.34765,127.34718,127.34733,127.34733,127.34718,127.34696,127.346855,127.34652,127.3461,127.346855,127.346855,127.346855,127.346855,127.345856,127.3458,127.34578,127.345726,127.345764,127.34574,127.34568,127.345604,127.34553,127.34554,127.34554,127.34553,127.34553,127.34568,127.345505,127.34568,127.345634,127.34558,127.34526,127.34526,127.34526,127.34525,127.34526,127.345345,127.345726,127.34597,127.34552,127.346054,127.34607,127.34525,127.34635,127.34629,127.345215,127.3461,127.3461,127.3461,127.34663,127.3452,127.3452,127.345184,127.345184,127.3452,127.345215,127.34531,127.345215,127.34733,127.348175,127.349434,127.35196,127.35507,127.35301,127.35588,127.3562,127.356895,127.35807,127.35873,127.35094,127.350876,127.350746,127.35072,127.35073,127.35074,127.34541,127.35194,127.35195,127.34564,127.34561,127.3456,127.34561,127.34559,127.34558,127.34558,127.34555,127.34559,127.34559,127.34559,127.345604,127.34561,127.34566,127.348015,127.34559,127.3456,127.34566,127.35901
5400,127.34186,127.34102,127.34101,127.34039,127.340385,127.34,127.338394,127.338394,127.338394,127.33947,127.339455,127.33947,127.339455,127.33948,127.339195,127.339195,127.33873,127.33887,127.33887,127.33873,127.33852,127.338394,127.33806,127.33765,127.338394,127.338394,127.338394,127.338394,127.33741,127.33735,127.337326,127.33727,127.33731,127.33729,127.33723,127.33715,127.33708,127.33708,127.33708,127.337074,127.337074,127.33723,127.33705,127.33723,127.33718,127.33712,127.33681,127.33681,127.33681,127.3368,127.336815,127.33689,127.33727,127.33751,127.33707,127.33759,127.337616,127.3368,127.337906,127.33784,127.33676,127.33765,127.33765,127.33765,127.33817,127.33674,127.33674,127.33673,127.33673,127.33674,127.33676,127.33685,127.33676,127.33887,127.339714,127.34099,127.343506,127.34662,127.34455,127.347435,127.34775,127.34844,127.349625,127.35027,127.34248,127.34242,127.34229,127.34226,127.34228,127.342285,127.33695,127.34349,127.34349,127.33719,127.33716,127.33715,127.33716,127.33713,127.33712,127.33712,127.3371,127.33713,127.33713,127.33713,127.33715,127.33716,127.337204,127.33956,127.33713,127.33714,127.337204,127.350555
7200,127.40469,127.4177,127.41769,127.428055,127.42803,127.43535,127.752,127.506424,127.831856,127.44478,127.444756,127.4448,127.44474,127.44484,127.45202,127.451996,127.46549,127.46109,127.461075,127.46551,127.47299,127.477264,127.45555,127.42792,127.81718,127.81718,127.919334,127.81718,127.41213,127.40207,127.39972,127.389824,127.40899,127.392586,127.37981,127.378174,127.37682,127.37652,127.37687,127.37679,127.37599,127.37707,127.37533,127.37424,127.37433,127.374756,127.37525,127.370636,127.37281,127.37058,127.37237,127.369835,127.36759,127.36606,127.399734,127.36472,127.36443,127.3773,127.36377,127.36379,127.37781,127.363846,127.36384,127.363815,127.36364,127.37796,127.37899,127.37822,127.378586,127.37858,127.37962,127.38664,127.380356,127.362366,127.36103,127.35934,127.35598,127.35336,127.37423,127.35015,127.34936,127.34756,127.34452,127.34284,127.39509,127.39473,127.39377,127.393585,127.39366,127.39372,127.39293,127.35587,127.355896,127.36566,127.365234,127.364944,127.36494,127.3629,127.36284,127.36287,127.362686,127.36233,127.36229,127.36231,127.36218,127.36215,127.36205,127.36109,127.36231,127.363884,127.36205,127.34211
9000,127.41877,127.43179,127.43178,127.44215,127.44211,127.44944,127.76609,127.520515,127.84594,127.45887,127.45885,127.45889,127.458824,127.45893,127.46611,127.46608,127.47959,127.47518,127.47517,127.4796,127.48708,127.491356,127.46964,127.44201,127.83126,127.83126,127.93343,127.83126,127.42622,127.41616,127.4138,127.403915,127.42308,127.40667,127.39389,127.392265,127.390915,127.39061,127.39095,127.390884,127.390076,127.39116,127.38942,127.38833,127.38842,127.38885,127.38934,127.38473,127.3869,127.384674,127.38645,127.38393,127.381676,127.38015,127.41382,127.378815,127.378525,127.39138,127.37786,127.377884,127.3919,127.37794,127.37793,127.37791,127.37773,127.39205,127.39308,127.3923,127.392685,127.39267,127.393715,127.400734,127.39444,127.37645,127.37511,127.37342,127.37007,127.367455,127.38832,127.364235,127.36345,127.36165,127.35861,127.35693,127.40918,127.40881,127.40786,127.40768,127.40774,127.407814,127.40703,127.36996,127.36999,127.379745,127.379326,127.37903,127.37903,127.37699,127.37692,127.37696,127.37678,127.37642,127.37639,127.3764,127.376274,127.37624,127.376144,127.37518,127.3764,127.377975,127.376144,127.35619
10800,127.65088,127.70378,127.703735,127.74555,127.74547,127.77478,128.92975,128.04321,129.21802,127.81264,127.81257,127.81268,127.81252,127.812775,127.84076,127.84071,127.892914,127.87594,127.87591,127.89293,127.921646,127.93794,127.86277,127.76711,129.16502,129.16502,129.53383,129.16502,127.71245,127.67632,127.6679,127.632286,127.70206,127.642296,127.595924,127.59074,127.58647,127.585304,127.58658,127.5864,127.58336,127.585686,127.58134,127.57449,127.57533,127.57793,127.581436,127.56346,127.571945,127.56332,127.57033,127.559204,127.54657,127.53814,127.670746,127.53135,127.529816,127.59019,127.525276,127.525635,127.5929,127.52672,127.526695,127.52664,127.52352,127.59377,127.59783,127.595,127.596375,127.59622,127.59985,127.62482,127.60264,127.514145,127.50382,127.489525,127.46118,127.435,127.523445,127.41771,127.413025,127.40242,127.38454,127.374626,127.61191,127.61098,127.60857,127.60809,127.60828,127.60845,127.64698,127.46092,127.460976,127.5402,127.53881,127.53786,127.53776,127.53023,127.53007,127.53015,127.52968,127.52748,127.52739,127.527435,127.52657,127.52633,127.52548,127.50498,127.527435,127.533875,127.52548,127.370285
12600,127.68761,127.7405,127.74045,127.782265,127.782196,127.81149,128.96646,128.07993,129.25473,127.84936,127.84929,127.8494,127.84925,127.84949,127.87748,127.87743,127.929634,127.91265,127.91263,127.92966,127.95837,127.97466,127.8995,127.80384,129.20174,129.20174,129.57056,129.20174,127.74917,127.713036,127.70461,127.66901,127.738785,127.679016,127.632645,127.62746,127.62319,127.62202,127.62329,127.62312,127.62008,127.622406,127.61806,127.61121,127.612045,127.61464,127.61816,127.600174,127.60866,127.60003,127.60705,127.595924,127.58329,127.57487,127.70747,127.56807,127.56653,127.62691,127.56199,127.56235,127.629616,127.56343,127.56341,127.56337,127.560234,127.63049,127.634544,127.63172,127.63309,127.63294,127.636566,127.66153,127.639366,127.55086,127.540535,127.526245,127.497894,127.47171,127.560165,127.45444,127.44974,127.43914,127.42125,127.41135,127.64863,127.6477,127.64528,127.64481,127.64499,127.64517,127.68371,127.497635,127.497696,127.57691,127.57552,127.57457,127.574486,127.56695,127.566795,127.566864,127.5664,127.56421,127.56411,127.56415,127.563286,127.56304,127.562195,127.5417,127.56415,127.570595,127.562195,127.407005
14400,127.76766,127.825294,127.82526,127.87061,127.87055,127.902176,129.06703,128.1805,129.3553,127.943115,127.943054,127.94315,127.94303,127.943214,127.972916,127.97288,128.028,128.01012,128.0101,128.02802,128.05815,128.07524,128.00273,127.910446,129.3023,129.3023,129.67113,129.3023,127.85772,127.821976,127.81365,127.77834,127.84804,127.788315,127.74212,127.7374,127.73351,127.732315,127.7336,127.73347,127.730354,127.73173,127.72863,127.71991,127.72109,127.72436,127.72926,127.710594,127.719406,127.710495,127.71781,127.7054,127.68949,127.67884,127.818375,127.670685,127.668816,127.73887,127.662476,127.66311,127.742165,127.66505,127.66503,127.66499,127.659515,127.743286,127.7475,127.7447,127.746056,127.745834,127.74932,127.773766,127.75218,127.64616,127.63119,127.61007,127.568214,127.5274,127.626305,127.505745,127.4996,127.48575,127.46235,127.4494,127.725204,127.7245,127.72269,127.722336,127.72247,127.7226,127.79534,127.568016,127.568054,127.68368,127.682434,127.681564,127.68141,127.67404,127.67392,127.67397,127.67362,127.67095,127.670876,127.67091,127.66981,127.66949,127.66831,127.63311,127.67091,127.677605,127.66831,127.44372
