,name,id,sj_0,sj_1,in_offset,out_offset,dx,roughness,shape,g1,g2,g3,g4,Q_0,h_0,ctrl,A_s,A_c,C,dx_uk,dx_dk,C_uk,C_dk,friction_method
0,1,0,0,1,0,0,1220.7240000000002,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
1,2,1,1,2,0,0,1464.62496,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
2,3,2,4,3,0,0,258.62280000000004,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
3,4,3,3,2,0,0,579.12,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
4,5,4,2,5,0,0,488.62488,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
5,6,5,5,6,0,0,613.4100000000001,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
6,7,6,6,7,0,0,914.4000000000001,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
7,8,7,7,8,0,0,243.84,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
8,9,8,8,9,0,0,640.08,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
9,10,9,9,10,0,0,640.08,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
10,11,10,8,11,0,0,377.00712000000004,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
11,12,11,9,14,0,0,549.49344,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
12,13,12,13,14,0,0,164.1348,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
13,14,13,14,15,0,0,152.4,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
14,15,14,10,16,0,0,520.8422400000001,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
15,16,15,16,15,0,0,340.76640000000003,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
16,17,16,15,23,0,0,539.25216,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
17,18,17,23,24,0,0,195.16344,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
18,19,18,24,25,0,0,532.30272,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
19,20,19,25,26,0,0,491.49,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
20,21,20,26,27,0,0,335.28000000000003,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
21,22,21,26,28,0,0,274.32,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
22,23,22,25,29,0,0,526.17624,100.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
23,24,23,29,28,0,0,518.1600000000001,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
24,25,24,30,29,0,0,822.96,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
25,26,25,280,30,0,0,457.20000000000005,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
26,27,26,30,31,0,0,883.9200000000001,120.0,force_main,0.4064,1e-05,0,0,0,0.4064,False,0.001,0,0,0,0,0,0,hw
27,28,27,31,32,0,0,519.0439200000001,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
28,29,28,32,33,0,0,215.52408000000003,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
29,30,29,32,189,0,0,823.53912,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
30,31,30,16,17,0,0,300.19752,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
31,32,31,18,17,0,0,155.41752,120.0,force_main,0.15239999999999998,1e-05,0,0,0,0.15239999999999998,False,0.001,0,0,0,0,0,0,hw
32,33,32,17,19,0,0,642.9756,120.0,force_main,0.30479999999999996,1e-05,0,0,0,0.30479999999999996,False,0.001,0,0,0,0,0,0,hw
33,34,33,19,20,0,0,304.8,120.0,force_main,0.2032,1e-05,0,0,0,0.2032,False,0.001,0,0,0,0,0,0,hw
