,1,10,11,12,13,14,15,2,3,4,5,6,7,8,9,-
0,0.293,404.0,0.0,0.0,0.0,850.0,764.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.199,141.0,0.0,0.0,0.0,858.0,764.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,0.312,0.0,0.0,0.0,0.0,875.0,833.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0.506,0.0,0.0,0.0,0.0,879.0,972.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.588,0.0,0.0,0.0,0.0,885.0,903.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.294,0.0,0.0,0.0,0.0,890.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2.074,0.0,0.0,448.0,0.0,944.0,1042.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
7,1.581,0.0,0.0,448.0,601.0,928.0,972.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
8,1.741,357.0,267.0,448.0,628.0,988.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
9,1.698,416.0,294.0,448.0,618.0,901.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
10,1.626,413.0,283.0,448.0,611.0,901.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
11,1.566,413.0,48.0,448.0,604.0,904.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
12,1.388,412.0,0.0,0.0,598.0,908.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
13,1.301,409.0,54.0,0.0,591.0,907.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
14,1.48,410.0,304.0,0.0,589.0,690.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
15,1.198,411.0,298.0,0.0,581.0,640.0,903.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
16,1.105,410.0,295.0,0.0,583.0,640.0,833.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0
17,1.153,410.0,294.0,448.0,584.0,640.0,833.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
18,1.269,411.0,293.0,448.0,583.0,640.0,903.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
19,1.426,411.0,292.0,448.0,571.0,640.0,903.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
20,1.283,413.0,292.0,448.0,561.0,640.0,903.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
21,1.103,409.0,291.0,0.0,6.2,757.0,903.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
22,1.065,406.0,291.0,0.0,0.0,974.0,903.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
23,0.856,405.0,290.0,0.0,0.0,967.0,833.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
24,0.683,402.0,288.0,0.0,0.0,949.0,833.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
25,0.613,401.0,285.0,0.0,0.0,941.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
26,0.701,400.0,282.0,0.0,0.0,943.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
27,0.501,399.0,281.0,0.0,0.0,945.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,0.507,397.0,279.0,0.0,0.0,928.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,1.14,398.0,279.0,0.0,0.0,952.0,1042.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,1.977,402.0,280.0,600.0,0.0,996.0,903.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
31,1.605,59.0,42.0,600.0,354.0,1013.0,972.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
32,1.499,0.0,0.0,600.0,641.0,1001.0,1042.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
33,1.511,0.0,0.0,600.0,625.0,996.0,1042.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
34,1.372,0.0,0.0,600.0,616.0,997.0,972.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
35,1.266,0.0,0.0,600.0,608.6,991.0,972.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
